state|district|sub_district|city|locality|sublocality|road|house number|poi|pincode|latitude|longitude
Delhi|North West District|Rohini|New Delhi|Rohini Sector 24|DDA Flats Pocket 5|Pocket Number 27 Road||Gloynn Cafe|110085|28.727683|77.081927
Madhya Pradesh|Datia District|Datia Nagar||||||Shri Rawatpura Sarkar Institute of Pharmacy|475661|25.634395|78.473921
Tamil Nadu|Dindigul District|Kodaikanal|Kodaikanal|Mother Teresa Womens University||||Department of Education|624101|10.2691|77.481205
Delhi|South District|Hauz Khas|New Delhi|Malviya Nagar|Corner Market|Maharishi Dayanand Marg||Anitoons The School of Animation|110017|28.538574|77.214465
West Bengal|Kolkata District|Kolkata|Kolkata|Park Street|Mullick Bazar|Hungerford Street||Acer India Pvt Ltd|700017|22.546141|88.355018
Gujarat|Gandhinagar District|Gandhinagar|Gandhinagar|Bhat||||Sabarmati Gas CNG Station|382428|23.105412|72.630963
Maharashtra|Mumbai Suburban District|Kurla|Mumbai|Mulund West||||Marathon Max Out Gate|400080|19.16418|72.938017
Uttar Pradesh|Gautambuddha Nagar District|Dadri|Greater Noida|Sector 4|Gaur City 1|||Vidhi Financial Services|201318|28.611935|77.422455
Maharashtra|Mumbai District|Mumbai|Mumbai|Nariman Point||Barrister Rajni Patel Marg||Twocheckout Online India Pvt Ltd|400021|18.924829|72.824669
Delhi|Central District|Pahar Ganj|New Delhi|Motia Khan||||Himgiri Auto Finance Pvt Ltd|110055|28.64688|77.206946
Maharashtra|Chhatrapati Sambhaji Nagar District|Kannad||||||IndianOil e-Charge Electric Vehicle Charging Station|431103|20.154392|75.128788
Tamil Nadu|Chennai District|Aminjikarai|Chennai|Aminjikarai|Ampa Skywalk|Nelson Manickam Road||KFC|600029|13.073914|80.221613
Karnataka|Bengaluru Rural District|Devanahalli|Bengaluru|Kempegowda International Airport Devanahalli||||Dalkomi|560300|13.19989|77.709666
Delhi|South East District|Defence Colony|New Delhi|Ansari Nagar East|All India Institute of Medical Sciences|||National Medical Library Gate|110029|28.568565|77.215951
Karnataka|Bengaluru Urban District|Bengaluru North|Bengaluru|Nagartapete|Ballapurpete|1st Cross Road||Visthara Property Services|560002|12.970405|77.581121
Punjab|Amritsar District|Amritsar 1|Amritsar|Rajinder Nagar New Partap Avenue||||Hyatt Regency Amritsar Gate|143006|31.618164|74.908846
Maharashtra|Mumbai Suburban District|Borivali|Mumbai|Borivali West|Soniwadi|Swami Vivekanand Marg||Rhushabh Nursing Home|400092|19.222885|72.853413
Delhi|Shahdara District|Vivek Vihar|New Delhi|Naveen Shahdara||||Generous Buildwell Pvt Ltd|110032|28.673823|77.287945
Telangana|Medchal Malkajgiri District|Kukatpally|Hyderabad|Kukatpally|KPHB Colony|||Classic Polo|500072|17.490097|78.39358
Madhya Pradesh|Indore District|Indore|Indore|South Tukoganj||Nath Mandir Road||Chotiwala Restaurant|452001|22.719527|75.8767
West Bengal|North Twenty Four Parganas District|Barrackpur 2|Kolkata|Dum Dum|East Kamlapur|Jessore Road||OYO Hotel|700028|22.640541|88.429518
Kerala|Kozhikode District|Thamarassery||||Thamarassery Chungam Bypass Road||City Mall Cinemas|673573|11.414485|75.935561
Karnataka|Bengaluru Urban District|Bengaluru North|Bengaluru|Shivaji Nagar|Swami Shivanandapuram|||Starn Style|560051|12.984396|77.605886
Maharashtra|Thane District|Thane|Thane|Thane West|Panch Pakhadi|||The Skin Tech|400602|19.193778|72.967984
Telangana|Medchal Malkajgiri District|Kukatpally|Hyderabad|Kukatpally|KPHB Colony|KPHB 6th Phase Road||Value Vision Opticals|500072|17.48513|78.38972
Karnataka|Bengaluru Urban District|Bengaluru North|Bengaluru|Shivaji Nagar|Tasker Town|Laxmana Mudaliar Street||Fashion 49|560001|12.983164|77.60934
Tamil Nadu|Tiruppur District|Kangeyam||||||IndianOil e-Charge Electric Vehicle Charging Station|638701|11.023598|77.652037
Delhi|Central District|Pahar Ganj|New Delhi|Paharganj|Chuna Mandi|Laxmi Narayan Street||Shell Expo|110055|28.641101|77.211386
Chhattisgarh|Korba District|Katghora||||||Jaquar|495455|22.36095|82.634656
Tamil Nadu|Thanjavur District|Thanjavur|Thanjavur|Shivaji Nagar||Srinivasan Pillai Salai||Kavi Softek|613001|10.778513|79.142091
Kerala|Malappuram District|Kondotty|Kondotty|||Calicut Airport Road||Wimbley|673647|11.139477|75.951701
Maharashtra|Mumbai District|Mumbai|Mumbai|Mazagaon||||Nasir Palace Gate 2|400010|18.965396|72.844283
Uttar Pradesh|Gautambuddha Nagar District|Dadri|Noida|Noida Special Economic Zone|Block JC|||SDF Block C and B Gate|201305|28.536019|77.398708
West Bengal|Kolkata District|Kolkata|Kolkata|Bhawanipore|Sreepally|Sarat Bose Road||Lak Carboment Ltd|700020|22.538873|88.354308
Uttar Pradesh|Gautambuddha Nagar District|Dadri|Noida|Sector 62|Block A|||Bit Control Solution|201309|28.627371|77.3725
